operator_id,op_jobKind,op_qualifications_count,op_effectiveTime,op_popularity_score,op_has_CP,op_has_CN,workload_pressure_index,daily_perc_ortho,avg_patient_priority,daily_lifter_ratio,target_assN,target_assO,target_assCP,target_assMAC,target_assignments
218,0,6,480,4,1,0,0.8602150537634409,0.4074074074074074,7.8,0.06481481481481481,2,2,0,1,5
217,0,7,300,5,1,0,0.8602150537634409,0.4074074074074074,9.0,0.06481481481481481,0,4,0,1,5
221,0,6,432,7,1,0,0.8602150537634409,0.4074074074074074,9.0,0.06481481481481481,0,6,0,1,7
223,0,6,432,6,1,0,0.8602150537634409,0.4074074074074074,15.0,0.06481481481481481,0,0,0,6,6
213,0,6,432,6,1,0,0.8602150537634409,0.4074074074074074,10.5,0.06481481481481481,1,2,0,3,6
224,0,6,432,7,1,0,0.8602150537634409,0.4074074074074074,11.142857142857142,0.06481481481481481,1,2,0,3,7
226,1,5,210,3,0,0,0.8602150537634409,0.4074074074074074,5.333333333333333,0.06481481481481481,2,1,0,0,3
313,1,6,216,1,1,0,0.8602150537634409,0.4074074074074074,10.333333333333334,0.06481481481481481,0,2,0,1,3
464,1,6,216,4,1,0,0.8602150537634409,0.4074074074074074,6.5,0.06481481481481481,1,3,0,0,4
227,0,6,432,5,1,0,0.8602150537634409,0.4074074074074074,7.5,0.06481481481481481,2,3,0,0,6
219,0,6,480,7,1,0,0.8602150537634409,0.4074074074074074,9.857142857142858,0.06481481481481481,2,2,0,3,7
410,1,2,200,3,0,0,0.9312796208530806,0.5,5.333333333333333,0.03333333333333333,2,1,0,0,3
43,0,4,280,2,0,1,0.9312796208530806,0.5,7.0,0.03333333333333333,1,3,0,0,4
46,0,3,350,3,1,0,0.9312796208530806,0.5,5.333333333333333,0.03333333333333333,2,1,0,0,3
39,1,3,200,2,0,1,0.9312796208530806,0.5,5.0,0.03333333333333333,3,1,0,0,4
158,0,2,340,5,0,0,0.9312796208530806,0.5,6.142857142857143,0.03333333333333333,3,4,0,0,7
34,1,3,180,3,0,1,0.9312796208530806,0.5,6.666666666666667,0.03333333333333333,1,2,0,0,3
40,0,4,340,3,0,1,0.9312796208530806,0.5,5.375,0.03333333333333333,5,3,0,0,8
435,0,3,340,5,0,1,0.9312796208530806,0.5,6.0,0.03333333333333333,3,3,0,0,6
44,0,4,340,3,1,1,0.9312796208530806,0.5,6.666666666666667,0.03333333333333333,1,2,0,0,3
38,0,4,280,5,0,1,0.9312796208530806,0.5,6.571428571428571,0.03333333333333333,2,5,0,0,7
50,0,3,340,5,0,1,0.9312796208530806,0.5,5.142857142857143,0.03333333333333333,5,2,0,0,7
32,1,4,140,2,1,1,0.9312796208530806,0.5,7.0,0.03333333333333333,2,0,1,0,3
31,1,3,200,3,0,1,0.9312796208530806,0.5,6.666666666666667,0.03333333333333333,1,2,0,0,3
485,0,2,340,4,0,0,0.9312796208530806,0.5,5.333333333333333,0.03333333333333333,4,2,0,0,6
29,1,3,200,3,0,1,0.9312796208530806,0.5,4.666666666666667,0.03333333333333333,2,1,0,0,3
42,1,2,150,3,0,0,0.9312796208530806,0.5,7.2,0.03333333333333333,1,4,0,0,5
216,0,6,300,3,1,0,0.8942414174972314,0.39090909090909093,6.8,0.06363636363636363,1,4,0,0,5
211,0,6,300,6,0,1,0.8942414174972314,0.39090909090909093,15.0,0.06363636363636363,0,0,0,6,6
212,0,6,300,4,1,0,0.8942414174972314,0.39090909090909093,8.6,0.06363636363636363,1,3,0,1,5
214,0,6,432,6,0,1,0.8942414174972314,0.39090909090909093,10.833333333333334,0.06363636363636363,1,2,0,2,6
215,0,6,300,5,0,1,0.8942414174972314,0.39090909090909093,15.0,0.06363636363636363,0,0,0,4,5
217,0,7,300,5,1,0,0.8942414174972314,0.39090909090909093,9.0,0.06363636363636363,0,4,0,1,5
210,0,6,402,3,1,0,0.8942414174972314,0.39090909090909093,8.75,0.06363636363636363,1,2,0,1,4
219,0,6,480,7,1,0,0.8942414174972314,0.39090909090909093,10.5,0.06363636363636363,2,2,0,4,8
220,0,6,480,7,1,0,0.8942414174972314,0.39090909090909093,13.0,0.06363636363636363,0,2,0,5,7
221,0,6,432,6,1,0,0.8942414174972314,0.39090909090909093,9.166666666666666,0.06363636363636363,0,5,0,1,6
